Timestamp,What is your Faculty?,Year of Study?,On average how many days a week do you use the Open Area?,How long do you plan to be in the Open Area today?,What activities are you doing in the Open Area today?,Thermal Comfort,Noise Level,Lighting Conditions,Occupancy Level,Weather Conditions(Rain/Breeze),What are the top reasons you chose to sit here today?,Are you currently using an electronic device (laptop/phone/tablet) that requires a continuous power supply to stay here?,If you had a strict assignment deadline due tomorrow morning how would your behavior change?,If this space became significantly louder right now due to a social event what would you do?,How does rainy weather typically affect your choice to use the Open Area?,To what extent would the installation of ceiling/wall fans change your usage of the Open Area during warm periods?,Any suggestions to improve infrastructure of the area?,Other comments on the area if you have any?
2026/07/16 11:48:12 AM,UCSC,2nd Year,3 - 4 days,1 - 2 hours,University Club Activity,2,1,4,5,2,To meet up with friends,No,I would stay but move if it gets too distracting,Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would make my current stay more comfortable but it wouldn't change how long I stay or what I do,Fans,
2026/07/16 12:01:50 PM,FOS,1st Year,1 - 2 days,Less than 30 mins,Recreation (Gaming Social Media Relaxing),1,1,4,5,1,Proximity to faculty/lectures,No,I would immediately find another quiet space on campus (e.g. Library).,Stay here and switch to casual socializing/phone scrolling,I avoid the Open Area entirely because of the dampness/splashing,It would not affect my usage of the space at all,Curtains/Rain Shields,
2026/07/16 12:15:33 PM,UCSC,1st Year,3 - 4 days,30 - 60 mins,Casual Socializing / Chatting,1,1,4,5,2,To meet up with friends,No,I would leave campus and go home to complete it,Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would make my current stay more comfortable but it wouldn't change how long I stay or what I do,Fans,
2026/07/16 12:30:44 PM,UCSC,2nd Year,5+ days,2+ hours,Collaborative Academic Work (Group),1,1,4,5,2,Large seating space,"Yes, but I am running on battery power",I would immediately find another quiet space on campus (e.g. Library).,Leave the Open Area entirely for another building (e.g. towards the FOS side elsewhere),I avoid the Open Area entirely because of the dampness/splashing,It would significantly increase the time I spend here doing academic work.,Fans,
2026/07/16 12:42:01 PM,UCSC,1st Year,5+ days,1 - 2 hours,Individual Academic Work,1,1,4,5,2,Availability of power plugs,"Yes, and I am currently plugged into a wall socket",I would immediately find another quiet space on campus (e.g. Library).,Leave the Open Area entirely for another building (e.g. towards the FOS side elsewhere),I avoid the Open Area entirely because of the dampness/splashing,It would significantly increase the time I spend here doing academic work.,Fans,
2026/07/16 12:55:18 PM,Other,2nd Year,1 - 2 days,Less than 30 mins,Casual Socializing / Chatting,2,2,4,5,2,Proximity to faculty/lectures,No,I would leave campus and go home to complete it,Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would not affect my usage of the space at all,Curtains/Rain Shields,
2026/07/16 1:10:30 PM,UCSC,1st Year,3 - 4 days,30 - 60 mins,Recreation (Gaming Social Media Relaxing),2,1,4,4,2,Atmosphere/Vibe,No,I would stay but move if it gets too distracting,Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would make my current stay more comfortable but it wouldn't change how long I stay or what I do,Fans,
2026/07/16 1:25:45 PM,UCSC,2nd Year,5+ days,1 - 2 hours,Collaborative Academic Work (Group),2,2,4,4,3,Large seating space,"Yes, but I am running on battery power",I would stay but move if it gets too distracting,Leave the Open Area entirely for another building (e.g. towards the FOS side elsewhere),I only use it to wait or seek shelter until the rain stops,It would make me choose this space instead of going elsewhere (e.g. the library or empty lecture rooms),Fans,
2026/07/16 1:40:12 PM,FOS,2nd Year,1 - 2 days,Less than 30 mins,Casual Socializing / Chatting,2,2,4,4,3,To meet up with friends,No,I would immediately find another quiet space on campus (e.g. Library).,Stay here and switch to casual socializing/phone scrolling,I only use it to wait or seek shelter until the rain stops,It would not affect my usage of the space at all,Fans,
2026/07/16 1:55:00 PM,UCSC,1st Year,5+ days,2+ hours,Individual Academic Work,2,2,4,4,3,Availability of power plugs,"Yes, and I am currently plugged into a wall socket",I would stay but move if it gets too distracting,Stay here and try to tolerate the noise to finish my work,I only use it to wait or seek shelter until the rain stops,It would significantly increase the time I spend here doing academic work.,Fans,
